Delegacia,Furtos na região,Roubo de carga,Roubos,Roubo de Veiculo,Furto de veiculo,Latrocinios,Homicídio doloso por acidente de trânsito,Homicídio Culposo por acidente de Trânsito,Homicídio Culposo,Tentativa de Homicídio,Lesão Corporal seguida de morte,Lesão Corporal Dolosa,Lesão Corporal Culposa por acidente de trânsito,Lesão Corporal Culposa,Estupro,Estupro de vulnerável,Roubo de veiculos,Roubo a Banco ,Ano
VilaCarrão,400,8,395,1,317,1,0,3,0,3,0,115,82,8,1,7,52,0,2020
VilaCarrão,516,7,422,0,379,1,0,1,0,3,0,109,87,7,1,5,73,0,2019
Itaquera,1152,7,1267,0,318,3,0,2,0,8,0,289,120,8,9,25,153,0,2020
Itaquera,1367,11,1249,0,411,4,0,5,0,9,1,310,133,15,7,17,257,0,2019
Pirituba,983,59,950,0,406,5,0,11,0,4,0,121,106,19,2,13,219,0,2020
Pirituba,867,88,883,0,590,6,0,19,0,14,1,208,205,14,10,14,313,0,2019
VilaSonia,1376,13,1211,0,247,5,1,2,0,3,0,177,197,9,4,12,187,0,2020
VilaSonia,2258,29,1349,1,287,8,0,6,0,5,0,248,303,13,5,9,193,0,2019
Jabaquara,1655,17,1796,0,252,5,0,4,0,3,1,409,141,11,5,13,358,1,2020
Jabaquara,2234,10,1744,0,277,4,0,5,0,7,0,349,172,7,5,19,731,0,2019
VilaMariana,3646,2,828,0,223,0,0,1,0,2,0,132,68,16,3,2,18,1,2020
VilaMariana,4344,1,1160,0,349,0,0,0,1,2,0,143,122,29,5,4,31,0,2019
CampoLimpo,2253,123,3467,3,298,21,0,8,0,16,1,569,189,3,16,50,327,0,2020
CampoLimpo,2651,120,3358,1,372,23,0,9,0,24,0,671,306,6,19,39,379,0,2019
VilaAmália,1232,25,907,0,226,9,0,3,1,8,0,362,124,4,9,16,90,0,2020
VilaAmália,1248,10,1104,2,243,2,0,4,0,9,0,365,192,5,6,28,126,0,2019
VilaGustavo,1420,16,1076,0,533,7,0,3,0,5,0,311,118,12,6,19,87,0,2020
VilaGustavo,1869,10,1178,0,799,4,0,1,1,9,0,339,186,9,12,21,105,0,2019
VilaSantaMaria,1076,31,750,0,228,5,0,1,0,5,0,195,79,8,5,6,108,0,2020
VilaSantaMaria,1263,45,911,1,293,4,0,4,0,10,1,265,121,33,4,6,231,0,2019
VilaRica,1047,28,1441,0,549,3,0,4,0,2,0,330,113,5,4,26,193,0,2020
VilaRica,1517,30,1509,0,832,4,0,1,0,7,0,363,166,7,4,31,280,0,2019
ParqueSãoLucas,644,10,839,0,670,2,0,3,1,4,0,139,81,67,4,17,182,0,2020
ParqueSãoLucas,825,12,1059,1,893,3,0,4,0,4,0,219,137,28,6,14,202,0,2019
CidadeAdemar,617,7,1607,0,82,4,0,3,0,5,1,229,63,3,5,11,145,1,2020
CidadeAdemar,961,5,1159,0,146,2,0,1,0,10,0,245,92,4,10,19,307,0,2019
Guaianazes,1299,73,1949,0,182,11,2,4,2,13,0,306,80,10,7,25,351,1,2020
Guaianazes,1703,44,1806,0,237,14,0,0,0,5,0,383,112,0,7,35,534,0,2019
VilaBrasilândia,693,30,602,0,112,9,0,3,0,4,0,258,62,4,4,25,63,0,2020
VilaBrasilândia,748,33,830,1,109,7,0,3,0,8,1,263,90,8,10,28,189,0,2019
Perus,1311,141,1431,2,242,25,0,19,0,16,0,538,174,7,10,67,336,0,2020
Perus,1391,303,1623,0,386,20,0,28,0,24,0,513,174,13,17,61,499,0,2019
CapãoRedondo,1878,139,4314,5,256,32,0,9,0,27,1,812,235,6,12,75,311,0,2020
CapãoRedondo,1846,246,4061,3,317,28,0,8,0,32,1,892,365,13,20,84,381,0,2019
CidadeDutra,777,10,1073,0,101,2,0,2,0,4,0,172,104,3,3,11,92,0,2020
CidadeDutra,1698,10,1014,0,152,3,0,2,0,4,0,183,139,7,5,11,137,0,2019
SãoMateus,2195,104,2364,2,573,15,0,6,1,16,0,408,146,6,11,36,640,0,2020
SãoMateus,2652,135,2636,4,899,12,0,15,0,15,0,430,201,8,16,48,1056,0,2019
ItaimPaulista,2078,18,2623,0,285,10,0,5,0,7,0,410,107,18,18,48,303,0,2020
ItaimPaulista,2780,13,2936,1,457,4,0,7,0,8,0,490,151,33,17,40,533,0,2019
Butantã,1265,27,1047,2,125,4,0,6,0,8,0,225,111,6,8,7,157,0,2020
Butantã,1724,26,1446,3,183,0,0,3,0,4,0,243,143,6,11,12,220,0,2019
ParqueSãoJorge,1606,9,506,1,190,2,0,0,0,3,1,149,119,2,3,6,26,0,2020
ParqueSãoJorge,2251,22,624,1,426,0,0,2,1,0,0,140,77,10,5,10,44,0,2019
ParquedoCarmo,969,71,1380,0,353,6,0,2,1,10,0,338,168,6,8,22,313,0,2020
ParquedoCarmo,1325,43,1285,1,549,9,0,3,0,6,0,315,161,4,12,23,428,0,2019
CidadeTiradentes,1125,110,1575,1,231,19,0,5,0,14,1,418,81,3,5,31,261,0,2020
CidadeTiradentes,1176,77,1460,2,285,17,0,9,0,14,1,463,102,8,9,33,328,0,2019
ParqueSãoRafael,904,35,972,1,230,9,0,1,1,7,1,206,46,6,4,13,279,0,2020
ParqueSãoRafael,1139,28,1245,1,261,15,0,7,0,9,0,230,79,7,4,19,460,0,2019
VilaAlpina,964,19,697,1,408,2,1,2,0,4,0,133,97,7,4,5,153,1,2020
